exp_series  exp_name   date_strt   date_end               
GLBy        expt_93.0  2018-12-04  2099-12-31
GLBv        expt_93.0  2018-01-01  2020-02-18
GLBv        expt_92.9  2017-10-01  2017-12-31
GLBv        expt_57.7  2017-06-01  2017-09-30
GLBv        expt_92.8  2017-02-01  2017-05-31
GLBv        expt_57.2  2016-05-01  2017-01-31
GLBv        expt_56.3  2014-07-01  2016-04-30
GLBa        expt_91.2  2016-04-18  2018-11-20
GLBa        expt_91.1  2014-04-05  2016-04-18
GLBa        expt_91.0  2013-08-21  2014-04-04
GLBa        expt_90.9  2011-01-03  2013-08-20
GLBa        expt_90.8  2009-05-07  2011-01-02
GLBa        expt_90.6  2008-09-19  2009-05-06
GLBu        expt_19.1  1995-08-01  2012-12-31
GLBu        expt_19.0  1992-10-02  1995-07-31
